"Commander","Nation","Class","Base Trait Name","Base Trait Effects","Row1_Col1_Name","Row1_Col1_Effects","Row1_Col2_Name","Row1_Col2_Effects","Row1_Col3_Name","Row1_Col3_Effects","Row2_Col1_Name","Row2_Col1_Effects","Row2_Col2_Name","Row2_Col2_Effects","Row2_Col3_Name","Row2_Col3_Effects","Row3_Col1_Name","Row3_Col1_Effects","Row3_Col2_Name","Row3_Col2_Effects","Row3_Col3_Name","Row3_Col3_Effects","Row4_Col1_Name","Row4_Col1_Effects","Row4_Col2_Name","Row4_Col2_Effects","Row4_Col3_Name","Row4_Col3_Effects","Row5_Col1_Name","Row5_Col1_Effects","Row5_Col2_Name","Row5_Col2_Effects","Row5_Col3_Name","Row5_Col3_Effects"
"Abraham V. Hellsinger","japan","Destroyer","Exhaust fumes","+20.0% Smoke screen radius","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","Less Is More","+5.0% Torpedo damage | -10.0% Torpedo launchers reload time | -20.0% Torpedo range [PENALTY]","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","Fragile Threat","-8.0% Detectability of destroyers (destroyer) | -10.0% Maximum HP [PENALTY]","","","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","Torpedo Safari","+16.0% Torpedo range | -7.0% Range of destroyer's main guns (destroyer) [PENALTY]","","","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","","","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","",""
"AL Ägir","germany","Cruiser","Abyssal Banquet","-4.0% Incoming damage for cruisers | +3.0% Cruiser main batter shell grouping","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Piercer","+4.0% Penetration multiplier","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Jötunn's Jaws","-6.0% Incoming projectile damage to your cruiser while secondary battery guns are aiming, firing, or reloading. (cruiser) | +14.0% Secondary batteries show damage for 10 s per main battery shot.","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5"
"Unknown","unknown","unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL Asashio","japan","Destroyer","8th Destroyer Division","+6.0% Destroyer torpedo damage while undetected by enemy ships","Contact Is Imminent","+500.0% Torpedo speed","Subsurface Venture","-12.0% Torpedo launchers reload time | +400.0% Torpedo speed | +10.0% Reload time of destroyer's main guns (destroyer) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Homerun","+10.0% Torpedo range","Look at Me Now","-6.0% Sea detectability range","Back in Stock","-8.0% Torpedo launchers reload time","Torpedo Safari","+16.0% Torpedo range | -7.0% Range of destroyer's main guns (destroyer) [PENALTY]","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","Perceptive","-3.0% Incoming damage to your destroyer (destroyer)","Strike Them Down","+500.0% Torpedo speed | -1.5% Torpedo protection reduction for each destroyer-launched torpedo hit (destroyer)","Destroy or be Destroyed","+7.0% Maximum destroyer speed (destroyer) | -10.0% Shell grouping of destroyer's main guns (destroyer) [PENALTY]","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Give me Speed","-20.0% Engine boost reload time | +20.0% Engine boost duration | +200.0% Engine Boost Charges | +10.0% Maximum destroyer speed (destroyer) @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)"
"AL Atago","japan","Cruiser","Death from Below","-200 m Detectability of your torpedoes","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Arsonist","+10.0% Cruiser's main gun HE shells damage (cruiser) | +8.0% Chance of a fire being caused by the cruiser's HE shells (cruiser) | +10.0% Incoming damage for cruisers (cruiser) [PENALTY]","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"AL Avrora","ussr","Cruiser","Flexible Threat","-20.0% Shell type switch time","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Intuitive","+5.0% Sonar duration | +5.0% Surveillance Radar duration","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Hammering Strikes","+10.0% Cruiser main gun AP shells damage (cruiser) | +10.0% Cruiser's main gun HE shells damage (cruiser) | -5.0% Shell grouping of cruiser's main guns (cruiser) [PENALTY]","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","Equilibrium of Power","+30.0% Armor penetration of HE shells of your cruiser (cruiser) | -10.0% Cruiser's main gun HE shell damage (cruiser) [PENALTY] | -25.0% Chance of a fire being caused by the cruiser's HE shells (cruiser) [PENALTY]"
"AL Azuma","japan","Cruiser","Muzuhio's Intuition","+2.0% Maximum cruiser speed | +2.0% Incoming fire dispersion","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","","","Velocious","+5.0% Maximum movement speed","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","Fortified","-4.0% Incoming damage | +3.0% Maximum HP","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Special Gunnery Training","+15.0% Cruiser's main gun AP shell damage (cruiser) | +10.0% Cruiser's AP shell penetration multiplier (cruiser) | -5.0% Shell grouping of cruiser's main guns (cruiser) [PENALTY]","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"AL Baltimore","usa","Cruiser","Adaptive Tactics","-6.0% Rudder shift time","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","","","Velocious","+5.0% Maximum movement speed","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","APsolute Ammunition","+7.0% Cruiser's AP shells penetration multiplier (cruiser) | -40.0% Time to detonation of your cruiser's AP shells (cruiser) [PENALTY]","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","Equilibrium of Power","+30.0% Armor penetration of HE shells of your cruiser (cruiser) | -10.0% Cruiser's main gun HE shell damage (cruiser) [PENALTY] | -25.0% Chance of a fire being caused by the cruiser's HE shells (cruiser) [PENALTY]"
"AL Belfast","uk","Cruiser","Out Of Nowhere","-20.0% Ship's detectability after firing main guns from a smoke screen","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","Piercer","+4.0% Penetration multiplier","Smokescreen","+20.0% Smoke screen radius | -16.0% Ship's detectability after firing main guns from a smoke screen | -100.0% Smoke Generator charges [PENALTY]","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","Light Fortress","-8.0% Incoming damage for cruisers (cruiser)","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"AL Bismarck","germany","Battleship","Unwavering Strength","-4.5% Secondary battery reload time | -7.5% Secondary battery dispersion","A Good Day's Work","-8.0% Damage Control Party reload time","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","You Should See the Other Guy","-12.0% Damage Control Party Reload time | +3.5% Risk of catching fire","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","Wahrheit","-8.0% Incoming damage from projectiles while secondary battery is aiming or shooting","Reaching Out XXL","+8.0% Range of main guns","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
