"Name","Slug","Nation","Class","Tier","Type","Hitpoints","Effective HP","Armor","Torpedo Protection","Main Battery","Range","Reload Time","Turret Turn Time","Gun Traverse","Sigma","HE Damage","HE Alpha Strike","HE DPM","Fires/Min","AP Damage","Overmatch","AP Alpha Strike","AP DPM","Secondary Range","Sec Battery","AA Max DPS","AA Max Range","Max Speed","Turning Circle","Rudder Shift","Surface Detect","Air Detect","Smoke Penalty","Torp Layout","Torp Range","Torp Damage","Torp Speed","Torp Reload","Torp Detect","Consumables","Mod Slot 1","Mod Slot 2","Mod Slot 3","Mod Slot 4"
"A. M. Sumner","a-m-sumner","U.S.A.","Destroyer","VIII","Tech Tree","18,000","18,000","13-20 mm","0%","127 mm 3x2","10.90 km","3.5 s","7.2 s","25.0°/s","2.00","2,000","12,000","205,714","4.54","2,300","8 mm","13,800","236,571","","","136","5.00 km","35.0 kt","620 m","3.1 s","7.10 km","3.60 km","2.70 km","","","","","","","","","","",""
"Abruzzi","duca-degli-abruzzi","Italy","Cruiser","VI","Premium","32,500","32,500","6-145 mm","16%","152 mm 2x2","14.50 km","7.5 s","24.0 s","7.5°/s","2.00","2,300","23,000","184,000","5.21","3,400","10 mm","34,000","272,000","4.50 km","100 mm 4x2","91","4.00 km","35.0 kt","680 m","8.9 s","10.70 km","6.40 km","4.90 km","","","","","","","","","","",""
"Acasta","acasta","U.K.","Destroyer","I","Tech Tree","11,200","11,200","6-10 mm","0%","120 mm 4x1","9.90 km","5.0 s","18.0 s","10.0°/s","2.00","1,700","6,800","81,600","3.40","2,100","8 mm","8,400","100,800","","","34","2.50 km","35.0 kt","540 m","2.9 s","6.00 km","3.00 km","2.10 km","","","","","","","","","","",""
"Achilles","achilles","Europe","Destroyer","VI","Premium","14,100","18,048","6-20 mm","0%","120 mm 2x2","10.40 km","3.0 s","18.0 s","10.0°/s","2.00","1,700","6,800","136,000","5.04","2,150","8 mm","8,600","172,000","","","116","5.00 km","40.0 kt","610 m","3.4 s","6.90 km","3.40 km","2.40 km","","","","","","","","","","",""
"Adriatico","adriatico","Italy","Destroyer","VIII","Tech Tree","21,800","21,800","6-60 mm","0%","135 mm 3x2","10.80 km","4.5 s","18.0 s","10.0°/s","2.00","1,950","11,700","156,000","5.76","2,750","","","","","","41","3.50 km","39.0 kt","750 m","4.8 s","7.70 km","3.70 km","2.90 km","","","","","","","","","","",""
"Agano","agano","Japan","Cruiser","I","Tech Tree","25,800","25,800","6-60 mm","4%","152 mm 3x2","13.60 km","8.5 s","30.0 s","6.0°/s","2.00","2,600","15,600","110,118","4.00","2,900","10 mm","17,400","122,824","4.50 km","76.2 mm 2x2","72","3.50 km","35.0 kt","690 m","7.4 s","10.60 km","6.40 km","4.80 km","","","","","","","","","","",""
"Agincourt","agincourt","U.K.","Battleship","III","Premium","43,500","61,770","13-305 mm","14%","305 mm 7x2","13.70 km","36.0 s","45.0 s","4.0°/s","1.60","4,400","61,600","102,667","1.66","8,100","21 mm","113,400","189,000","5.00 km","76 mm 10x1","","","21.0 kt","670 m","13.4 s","12.60 km","9.80 km","9.40 km","","","","","","","","","","",""
"Ägir","agir","Germany","Cruiser","VIII","Premium","62,850","80,448","16-360 mm","37%","305 mm 3x3","16.20 km","30.0 s","36.0 s","5.0°/s","2.00","3,600","32,400","64,800","1.88","9,100","21 mm","81,900","163,800","6.00 km","128 mm 9x2","392","5.20 km","33.5 kt","880 m","14.0 s","13.90 km","8.30 km","10.60 km","","","","","","","","","","",""
"Aigle","aigle","France","Destroyer","V","Premium","17,000","17,000","3-16 mm","0%","139 mm 5x1","10.60 km","4.8 s","27.7 s","6.5°/s","2.00","2,000","10,000","125,000","4.70","2,600","9 mm","13,000","162,500","","","24","3.00 km","36.0 kt","680 m","4.1 s","6.30 km","3.30 km","2.70 km","","","","","","","","","","",""
"Akatsuki","akatsuki","Japan","Destroyer","VI","Tech Tree","11,600","11,600","6-20 mm","0%","127 mm 3x2","10.40 km","7.5 s","16.4 s","11.0°/s","2.00","1,800","10,800","86,400","2.82","2,200","8 mm","13,200","105,600","","","63","5.00 km","38.0 kt","640 m","3.2 s","6.70 km","3.30 km","2.50 km","","","","","","","","","","",""
"Aki","aki","Japan","Battleship","★","Premium","102,300","145,266","16-650mm","55%","460 mm 2x3","17.70 km","28.0 s","45.0 s","4.0°/s","2.10","7,300","43,800","93,857","1.98","14,800","32 mm","88,800","190,286","5.00 km","127 mm 6x2","548","5.00 km","26.3 kt","900 m","19.1 s","16.10 km","12.90 km","16.00 km","","","","","","","","","","",""
"Aki SE 25","aki-se-25","Japan","Battleship","★","Premium","102,300","145,266","16-650mm","55%","460 mm 2x3","17.70 km","28.0 s","45.0 s","4.0°/s","2.10","7,300","43,800","93,857","1.98","14,800","32 mm","88,800","190,286","5.00 km","127 mm 6x2","548","5.00 km","26.3 kt","900 m","19.1 s","16.10 km","12.90 km","16.00 km","","","","","","","","","","",""
"Akizuki","akizuki","Japan","Destroyer","VII","Tech Tree","20,400","20,400","13-20 mm","0%","100 mm 4x2","11.00 km","3.0 s","11.3 s","15.9°/s","2.00","1,200","9,600","192,000","6.73","1,700","6 mm","13,600","272,000","","","158","5.00 km","33.0 kt","730 m","3.9 s","6.80 km","3.40 km","2.10 km","","","","","","","","","","",""
"Al Ägir","al-agir","Germany","Cruiser","VIII","Premium","62,850","80,448","16-360mm","37%","305 mm 3x3","15.00 km","20.0 s","30.0 s","6.0°/s","1.90","2,600","23,400","70,200","2.82","9,100","21 mm","81,900","245,700","7.00 km","128 mm 9x2","538","5.20 km","33.5 kt","880 m","11.0 s","13.90 km","8.30 km","10.60 km","","","","","","","","","","",""
"AL Avrora","al-avrora","U.S.S.R.","Cruiser","II","Premium","22,500","22,500","6-152 mm","0%","152 mm 14x1","11.30 km","8.6 s","36.0 s","5.0°/s","2.00","2,100","14,700","102,558","3.08","2,700","10 mm","18,900","131,860","","","9","3.00 km","19.0 kt","400 m","6.4 s","9.50 km","6.00 km","4.40 km","","","","","","","","","","",""
"AL Baltimore","al-baltimore","U.S.A.","Cruiser","VII","Premium","42,400","56,646","6-203 mm","4%","203 mm 3x3","15.50 km","12.0 s","30.0 s","6.0°/s","2.00","2,800","25,200","126,000","3.71","5,000","14 mm","45,000","225,000","5.00 km","127 mm 6x2","310","5.00 km","32.5 kt","730 m","7.0 s","12.60 km","7.60 km","7.20 km","","","","","","","","","","",""
"AL Chapayev","al-chapayev","U.S.S.R.","Cruiser","VII","Premium","37,000","51,504","6-175 mm","0%","152 mm 4x3","16.00 km","9.2 s","25.0 s","7.2°/s","2.00","2,850","34,200","223,043","3.00","3,100","10 mm","37,200","242,609","5.00 km","100 mm 4x2","207","5.00 km","33.5 kt","890 m","8.7 s","14.30 km","8.60 km","7.50 km","","","","","","","","","","",""
"AL Cheshire","al-cheshire","U.K.","Cruiser","VI","Premium","42,500","42,500","13-178 mm","19%","234 mm 3x2","14.90 km","14.5 s","25.7 s","7.0°/s","2.00","3,500","21,000","86,897","3.34","5,900","16 mm","35,400","146,483","4.50 km","114 mm 8x2","518","5.00 km","34.0 kt","720 m","9.0 s","11.60 km","7.00 km","7.20 km","","","","","","","","","","",""
"AL Formidable","al-formidable","U.K.","Aircraft Carrier","VII","Premium","51,400","51,400","13-114mm","28%","","","","","","","","","","","","","","","4.50 km","114 mm 8x2","390","5.00 km","30.5 kt","970 m","13.0 s","13.40 km","10.00 km","2.00 km","","","","","","","","","","",""
"AL Fusou","al-fusou","Japan","Battleship","IV","Premium","57,100","81,082","6-305 mm","34%","356 mm 6x2","16.70 km","28.0 s","56.3 s","3.2°/s","1.50","5,700","68,400","146,571","2.07","10,200","24 mm","122,400","262,286","4.00 km","127 mm 4x2","121","5.00 km","24.5 kt","740 m","14.9 s","14.90 km","11.90 km","13.00 km","","","","","","","","","","",""
"AL Harbin","al-harbin","Pan","Cruiser","VII","Premium","34,000","45,424","13-100mm","0%","130 mm 5x2","14.50 km","4.8 s","7.2 s","25.0°/s","2.00","1,800","18,000","225,000","7.07","2,300","9 mm","23,000","287,500","","","258","5.20 km","33.4 kt","660 m","6.9 s","11.80 km","7.40 km","6.10 km","","","","","","","","","","",""
"AL Montpelier","al-montpelier","U.S.A.","Cruiser","VII","Premium","36,900","47,232","13-165 mm","4%","152 mm 4x3","13.90 km","7.5 s","18.0 s","10.0°/s","2.00","2,300","27,600","220,800","6.50","3,200","10 mm","38,400","307,200","5.00 km","127 mm 6x2","363","5.00 km","33.0 kt","660 m","6.4 s","12.00 km","7.50 km","6.10 km","","","","","","","","","","",""
"AL New Jersey","al-new-jersey","U.S.A.","Battleship","VII","Premium","67,000","95,140","6-439 mm","25%","406 mm 3x3","18.00 km","31.0 s","45.0 s","4.0°/s","1.80","5,700","51,300","99,290","1.90","13,100","28 mm","117,900","228,194","5.00 km","127 mm 10x2","648","5.00 km","30.0 kt","920 m","19.5 s","15.40 km","12.30 km","14.80 km","","","","","","","","","","",""
"AL Queen Elizabeth","al-queen-elizabeth","U.K.","Battleship","V","Premium","55,300","78,526","16-300 mm","22%","381 mm 4x2","15.80 km","30.0 s","60.0 s","3.0°/s","2.00","6,300","50,400","100,800","1.94","11,400","26 mm","91,200","182,400","4.00 km","114 mm 10x2","242","5.00 km","23.5 kt","680 m","14.3 s","14.30 km","11.30 km","13.00 km","","","","","","","","","","",""
